CompleteStoreName,FoodType,AverageRating,Reviewers,City
Shuang Kitchen Ban Mian,noodles,5,314,singapore
Jollibean,beverages,4.9,43,singapore
Yang Xiao Xian Mango Ice,dessert,4.9,39,singapore
Fat Baby Chilli Ban Mian,chicken,5,53,singapore
KING OF BAN MIAN,asian,4.9,48,singapore
Abang Nasi Goreng,asian,5,478,singapore
Yijia Seafood,seafood,5,40,singapore
BaliNice Mala Hotpot,chinese,4.7,23,singapore
Youcai Private Kitchen Lobster,chinese,4.7,54,singapore
Loklok 1991's by Daniel & Meng,malaysian,4.8,18,singapore
Pinxin Catering,chinese,4.2,8,singapore
Mentai SENS,japanese,5,528,singapore
XiMenJie,chinese,4.8,35,singapore
,bubble tea,5,9,singapore
Suo Fen,chinese,4.9,25,singapore
Tummy Delights,chinese,4.9,57,singapore
261 Fish Soup,chinese,4.7,18,singapore
Ri Ri Hong Mala Hotpot,mala xiang guo,4.9,7,singapore
Uncle Leong Signatures,chinese,4.9,428,singapore
Tengah Pasta,italian,4.9,5,singapore
Omot,japanese,5,56,singapore
Chong Pang Huat,asian,4.9,56,singapore
Man Li Fish Head Steamboat,chinese,4.8,39,singapore
Sona's Grill,indian,4.4,5,singapore
Mei Xiang Porridge,chinese,5,245,singapore
E Pin Hong Mala Hotpot E,mala xiang guo,4.9,170,singapore
Tidjai Thai Food,thai,4.7,72,singapore
Fu Qiang Pig's Organ Soup,chinese,5,5,singapore
Exclusive By Syed,indian,5,178,singapore
Jin Fang Yuan Restaurant,chinese,4.8,266,singapore
802 Rojak 802,chinese,5,84,singapore
Lady Boss Seafood,chinese,5,195,singapore
Hong Shi Chicken Rice,chinese,5,12,singapore
Hup Kee Roast Duck,chinese,4.1,6,singapore
Asia Wok,malaysian,4.7,223,singapore
Lan Ting Xu Lanzhou Beef Noodles,chinese,4.9,63,singapore
Peng Guan Bak Kwa & Braised Duck,chinese,4.4,6,singapore
Hai San Oc Dem,vietnamese,4.5,41,singapore
That Skewer Bar,chinese,4.9,412,singapore
,chinese,4.9,36,singapore
Rokus A,burgers,4.2,9,singapore
Biryani Brews,asian,4.9,34,singapore
Coconut Queen,beverages,5,408,singapore
THE NOODLE GUYS,chicken,5,845,singapore
Sing HK Kitchen,chinese,5,68,singapore
DLLM Lok Lok,malaysian,5,263,singapore
Smooth,western,4.4,9,singapore
Chong Ji Chef Wok,asian,4.6,364,singapore
meokja,korean,5,12,singapore
Le Xiao Chu,chinese,4.9,100,singapore
The Urban Hideout,western,4.2,7,singapore
O'Charlie Western Food,western,5,68,singapore
Cafe FuFu,pizza,5,8,singapore
Curious Folk Coffee,coffee,4.8,15,singapore
Obba BBQ & Jjajang,asian,4.7,65,singapore
Muscle Prep,healthy,5,37,singapore
SANPOUTEI,ramen,5,55,singapore
Bae,sandwiches,5,33,singapore
Orchard Bak Chor Mee,asian,4.7,7,singapore
New Ubin Seafood,chinese,4.8,94,singapore
Saigon Legend,vietnamese,4.8,22,singapore
Ri Ri Hong Mala Hot Pot,chinese,4.8,43,singapore
Juice Box,beverages,5,5,singapore
Bread Junction,bakery,4.9,245,singapore
WOK HEY,fried rice,5,212,singapore
Do,korean,5,114,singapore
Jia Jia Vegetarian,vegetarian,4.9,57,singapore
MY CURRY RICE,rice dishes,4.4,14,singapore
Ichikokudo Hokkaido Ramen,ramen,4.9,370,singapore
Zhen Neng Zhu Ban Mian & Fish Soup,seafood,4.9,390,singapore
Lao San Restaurant,chinese,4.8,22,singapore
Kopi & Tarts,cakes,5,521,singapore
Tsukimi Hamburg,japanese,5,242,singapore
Torori Tenshi No Warabi,japanese,4.4,8,singapore
Bad Boy Burgers,american,5,315,singapore
Onigirazu don,rice dishes,4.9,566,singapore
828 Wuxiang,singaporean,4.9,460,singapore
Omma Korean Charcoal BBQ,korean,4.8,14,singapore
Ling Jie Kampong Delights,tea,4.8,48,singapore
NKS Restaurant,indian,4.7,231,singapore
AH YEN FRIED PORK,asian,4.9,32,singapore
D'PENYETZ DOWNTOWN EAST,indonesian,5,1931,singapore
Chocolate Origin,cakes,4.9,10,singapore
Yummy Punjaby,singaporean,4.7,15,singapore
Hanjip Korean Grill House,soups,4.3,79,singapore
Xiao Mei Ban Mian,soups,5,13,singapore
The Viet Roti,vietnamese,5,214,singapore
Chee Wei Vegetarian,vegetarian,5,230,singapore
Liang Zai Hokkien Mee,chinese,4.9,39,singapore
Delifrance,sandwiches,5,312,singapore
Authentic Hock Lam St Popular Beef Kway Teow,noodles,4.9,23,singapore
Slurp Slurp,asian,4.9,131,singapore
Halim,singaporean,5,90,singapore
3SeasonsTea,chinese,4.9,22,singapore
Yi Ding Xuan Vegetarian,vegetarian,4.3,50,singapore
Caf,vietnamese,3.6,40,singapore
Tang Tavern,dessert,4.9,252,singapore
Mini Panjab,indian,4.9,22,singapore
Jason Noodle House,asian,4.9,17,singapore
GyoGyo,seafood,4.8,8,singapore
Karma Modern Indian,indian,2.1,30,singapore
SnackThatFoodUp,mexican,4.6,52,singapore
Jiao Cai BBQ & Seafood,seafood,4.9,218,singapore
MaFe Taco,mexican,4.9,7,singapore
Dian Lao Er,asian,4.9,98,singapore
Scruffy Murphy's,western,4.9,330,singapore
Kovan 209 Charcoal Char Siew Wanton Noodle Delights,noodles,4.7,299,singapore
Chinatown Mala Hotpot,chinese,4.2,16,singapore
Wenjie Nasi Lemak,chinese,4.8,359,singapore
Warung Watty,asian,5,12,singapore
Kko Kko Na Ra,korean,4.7,103,singapore
ZAINAP RESTAURANT,nasi lemak,4.8,719,singapore
Ju Xing Home,chinese,5,31,singapore
YUN PLACE,chinese,4.7,25,singapore
Uncle Leong Signatures,chinese,4.7,1550,singapore
The Hainan Story,cakes,4.8,955,singapore
Dodo Ecomonic Bee Hoon Nasi Lemak,asian,4.9,114,singapore
Teck Seng Bee Claypot Rice,chinese,4.9,49,singapore
iCON Steaks,american,4.9,59,singapore
Mermaid Fish Soup,asian,4.9,149,singapore
,chinese,5,69,singapore
Kao Western,western,4.9,870,singapore
HK Hennessy Roast Duck,asian,4.9,502,singapore
Fieldnotes,cakes,4.8,10,singapore
Old Hainan Curry Rice,curry,4.8,494,singapore
Hup Kee Roast Duck,chinese,5,44,singapore
I Like Chicken,fried chicken,4.4,9,singapore
Creamie Sippies,beverages,5,6,singapore
Mata Thai,thai,5,432,singapore
La You Xiang Xiao Chu Mala Hotpot,rice dishes,4.8,204,singapore
Beans,dessert,5,329,singapore
Ayam Penyet Ria,indonesian,5,843,singapore
Sushi,japanese,4.8,774,singapore
Juicy Fruit,beverages,4.8,160,singapore
Patrons',middle eastern,5,62,singapore
Si Chuan Village,chinese,4.7,154,singapore
CMeal Fried Chicken,chicken wings,4.9,419,singapore
Xin Zai Fa Handmade Noodle Porridge,porridge,4.7,169,singapore
Golden Cafe,chinese,4.9,133,singapore
Mod Keaw Seafood & BBQ Restaurant,asian,4.9,166,singapore
Ayam Penyet Cik Yam,indonesian,5,90,singapore
Momma's Pizza & Rice Meal,asian,5,44,singapore
Kou Wei Ban Mian,noodles,4.9,24,singapore
Xiao Bao Pig Trotter Rice,chinese,4.9,75,singapore
Chicken Run,singaporean,4.7,423,singapore
Mi Xiang Mix Rice,japanese,4.7,181,singapore
Gao Ji Steamed Gourmet,chinese,4.9,441,singapore
Golden Gate Wanton Noodle,noodles,4.1,100,singapore
Soi 19 Thai Wanton Mee,noodles,4.8,11,singapore
My Genie Gourmet,singaporean,5,236,singapore
Fire Rice,fried rice,4.8,24,singapore
Niu Dian X Palace Tea,chinese,4.9,76,singapore
Seremban Kee Mei Siew Pow,cakes,4.9,33,singapore
WAWA LALA BEE HOON,asian,5,66,singapore
Hi Ga Nobori Japanese,japanese,5,299,singapore
,asian,4.9,27,singapore
Chai's Fish Soup,singaporean,4.7,23,singapore
,chinese,4.8,23,singapore
Cafe Wabi Sabi,japanese,4.7,6,singapore
Teagif,bubble tea,5,524,singapore
Drunken Pot Pavilion,singaporean,4.7,10,singapore
WAH & STEVEN'S CORNER,dim sum ,4.9,25,singapore
Rindu Rasa Western,singaporean,4.9,126,singapore
Bombay Dining North Indian Restaurant,indian,3.8,333,singapore
Al Taj Indian Muslim Food,indian,4.4,130,singapore
Round Boy Roasters,coffee,5,54,singapore
Japanese & Korean,seafood,4.9,430,singapore
Happiness Sunbo,chicken rice,5,1347,singapore
Yuan Man Vegetarian,vegetarian,5,798,singapore
Subway,sandwiches,4.9,1169,singapore
AL ASHEEQHA INDIAN MUSLIM RESTAURANT,indian,4.8,30,singapore
Tun Xiang Hokkien Delights,asian,4.9,50,singapore
2nd Best Noodle,asian,5,11,singapore
Issho Izakaya,sushi,5,25,singapore
Lok Fu Lalapot Restaurant,asian,4.8,7,singapore
River South Prawn Noodle,noodles,4.9,78,singapore
Chao Yuan Noodle,chinese,4.9,55,singapore
Starbucks,coffee,5,279,singapore
Syed Cafe Beo Cres,indian,4.9,89,singapore
Coffee King,beverages,5,24,singapore
KPT 78 Tze Char,chinese,4.4,35,singapore
Lai Chi Mian,noodles,4.9,165,singapore
Spice,indian,4.1,14,singapore
Yenney Restaurant,vietnamese,5,140,singapore
Bro's BBQ,dessert,4.7,39,singapore
Fennel By Komala Vilas,indian,4.9,1650,singapore
Popular Biryani,indian,4.7,17,singapore
Hello Arigato,japanese,4.3,9,singapore
Ann Healthy Vegetarian,healthy,5,380,singapore
Fulee Mixed Vegetable Rice,chinese,4.5,49,singapore
River South Prawn Noodle,noodles,4.9,679,singapore
M&M Razeena Prata,indian,4.9,240,singapore
Korean Food,korean,4.8,43,singapore
Bai Wei Mini Bowl,chinese,3.9,13,singapore
KL Zheng Ji Handmade Steam Bun,malaysian,4.1,33,singapore
Y Dessert,dessert,5,132,singapore
The Hook & The Hen,asian,4.9,23,singapore
BB Corner,indian,4.7,109,singapore
Nosh,asian,3.6,5,singapore
Bakery 1946,korean,4.9,120,singapore
Divine Chicken Pot,chinese,5,13,singapore
FUJI FISHBALL NOODLE,chinese,4.8,47,singapore
Paris Van Java,indonesian,5,200,singapore
Khao,asian,5,87,singapore
Gloria Jean's Coffees,beverages,4.9,42,singapore
PUTIEN MAMA,chinese,4.9,16,singapore
Ah Ma's Porridge II,porridge,4.7,104,singapore
Sweet Cheeks,dessert,4.9,42,singapore
A,chinese,4.9,1184,singapore
Time Table Cafe,western,4.9,23,singapore
Nikutosake,japanese,4.8,9,singapore
NANDHANA'S RESTAURANT,indian,4.9,632,singapore
Sultans Table,middle eastern,4.4,22,singapore
FISH & CHICKS,pasta,4.8,295,singapore
Flips N Dips,american,4.9,47,singapore
Sushi Zanmai,japanese,5,88,singapore
Shifudo,japanese,5,183,singapore
Kebab Bhai,singaporean,5,82,singapore
964,chinese,4.9,56,singapore
Enjoy Eating House and Bar,seafood,4.9,128,singapore
Fluff Stack,dessert,4.9,148,singapore
Al,singaporean,4.9,15,singapore
Hainan Second Street,chinese,5,127,singapore
Ya Kun Kaya Toast,bakery,5,1726,singapore
Banh Mi 90s,bakery,4.9,406,singapore
Jai Thai,thai,4.7,99,singapore
NAMASTEY SINGAPORE,indian,4.5,120,singapore
Fruce,beverages,5,383,singapore
Kloudkitchen,malaysian,4.5,28,singapore
rrooll,bakery,5,99,singapore
Suyuan Vegetarian,vegetarian,4.7,51,singapore
,chinese,5,123,singapore
Ml King Of Paofan,singaporean,4.7,13,singapore
Acai King,dessert,4.8,6,singapore
R&B TEA,bubble tea,5,228,singapore
XR Western Food Teriyaki Rice Bento,western,4.9,13,singapore
Xie Bi An Vegetarian,vegetarian,5,86,singapore
Meshiya,japanese,4.9,949,singapore
Shanghai Tan Pan,chinese,4.9,26,singapore
Si Ya Foods Mala Hotpot,asian,4.8,191,singapore
Bedok 204 Beverage & Tim Sum,dim sum ,4.9,27,singapore
Jia Bao Bao,chinese,5,26,singapore
Cafe O,singaporean,4.8,21,singapore
Al Jamal Restaurant Indian Muslim Food,asian,5,15,singapore
Partea,tea,5,298,singapore
HAI ZHONG BAO,chinese,4.9,19,singapore
Fuel X,western,5,359,singapore
Korean and Japanese cuisine,korean,5,16,singapore
Xin Mei Xiang Lor Mee,noodles,4.9,130,singapore
Unwrapped,mediterranean,5,399,singapore
Indo Express,indonesian,4.9,212,singapore
Bukit Panjang Dessert Stall,coffee,5,725,singapore
Sakon Thai,thai,4.8,6,singapore
Aa Roasted Delights,chicken,5,6,singapore
Eastern Wok,chinese,5,196,singapore
Il Piccolo Pizzeria,pasta,4.9,246,singapore
Indian Masala Hut,indian,3.6,74,singapore
Pangat Indian Cuisine,indian,4.2,24,singapore
612 Western Food,western,4.9,203,singapore
218 Centre Hokkien Mee,chinese,4.7,73,singapore
Merci Marcel,western,5,29,singapore
Lao Huo Tang Soup & Steam Delights,chinese,4.9,12,singapore
Hong Style Fried Rice,fried rice,5,75,singapore
Malaysia Boleh,chinese,4.9,262,singapore
Ah Li Ipoh Hor Fun Fish Dumpling,chinese,4.9,547,singapore
Jay & Twins Kunafa,dessert,5,5,singapore
Ah Er Soup,soups,5,65,singapore
380 Nasi Lemak,nasi lemak,5,637,singapore
Mizu Express,japanese,4.5,52,singapore
Pasta Queen,italian,5,8,singapore
Hua Zai Frog Porridge Zi Char,chinese,4.8,595,singapore
Gim Seng Seafood,chinese,4.9,207,singapore
&JOY Dining Hall,japanese,4.9,1791,singapore
GENERAL OF FRIED RICE,chinese,4.9,404,singapore
Cat & the Fiddle,cakes,5,472,singapore
Sheng Yi Chicken Rice,chinese,5,400,singapore
Hjh Maimunah Restaurant,rice dishes,5,463,singapore
PAAKASHALA,indian,4.4,29,singapore
,noodles,4.6,77,singapore
Western Cuisine,western,4.7,342,singapore
Ton Coffee,vietnamese,5,63,singapore
Ssada Gimbab,korean,4.9,52,singapore
Eggslut,sandwiches,4.9,337,singapore
Baker & Cook,bakery,4.8,13,singapore
Ci De Xiang Vegetarian,vegetarian,4.6,206,singapore
AL,indian,4.8,846,singapore
Original Changi Ten Mile Fried Carrot Cake,cakes,4.9,264,singapore
Breadlink,dessert,4.9,274,singapore
Al,malaysian,5,519,singapore
146 Famous Bukit Merah Ang Ku Kueh,chinese,5,8,singapore
Ali's Prata,indian,5,3258,singapore
Fish & Co,western,4.9,66,singapore
Dodo Ecomonic Bee Hoon Nasi Lemak,asian,4.9,1547,singapore
Ming Kitchen,chinese,4.7,324,singapore
KRAPOW Thai Kitchen,thai,5,2312,singapore
Craftsmen Specialty Coffee,coffee,5,292,singapore
Kopifellas,asian,4.8,7,singapore
New Hong Kong Congee,porridge,5,55,singapore
Happy Hawker Coffee,chinese,1.6,13,singapore
Saffrons,indian,4.9,6796,singapore
&Joy Japanese Food Street,japanese,4.8,564,singapore
Annabella Patisserie Macarons,dessert,5,253,singapore
Da Zhong Guo Mala Xiang Guo,chinese,4.9,77,singapore
Dong Dong Hainanese Chicken Rice,chicken rice,4.9,16,singapore
Homewok,asian,4.7,67,singapore
Hollin,bubble tea,5,73,singapore
D'Rubinah Rojak,indonesian,4.9,320,singapore
Jufu Fishball Noodle,chinese,4.6,41,singapore
TamJai SamGor Mixian,soups,5,814,singapore
Idaten Udon,noodles,5,246,singapore
Grillotte,western,3.8,7,singapore
Eggsmith,burgers,4.8,10,singapore
Cheng Yi Coffee Shop,chicken wings,4.2,8,singapore
The Bread Gang,western,5,85,singapore
Paper Rice Vietnamese Kitchen,vietnamese,4.8,380,singapore
Da Dong Bei BBQ,chinese,4.9,89,singapore
Waa Cow,rice dishes,4.9,48,singapore
The Food Peeps,western,4.8,151,singapore
You Tiao Soya Bean,dessert,4.8,227,singapore
Hello Dessert,dessert,5,387,singapore
Teppan,japanese,4.9,111,singapore
Hankki,korean,5,1166,singapore
The Sandwich Guys,western,4.9,44,singapore
Everyday Big Prawn,asian,4.6,22,singapore
Al Sana Delight,indian,4.8,170,singapore
Common Grill by COLLIN'S,western,4.9,781,singapore
Quan Hui Chicken Rice,chicken rice,4.8,79,singapore
The Pho Place by LILY,vietnamese,4.8,17,singapore
Kebab Station,middle eastern,4.8,75,singapore
Bismillah Restaurant,indian,5,7,singapore
Kpt Heng Heng Fried Kway Teow,noodles,4.9,4232,singapore
Qiu Lian Ban Mee,soups,5,875,singapore
Each A Cup,bubble tea,5,1241,singapore
Kwang Kee Teochew Fish Porridge,porridge,5,116,singapore
UPSHOT COFFEE,coffee,5,57,singapore
Singa Cafe Pte Ltd,indian,4.9,141,singapore
VELAN FOODS,indian,4.5,59,singapore
Sandwich Saigon,sandwiches,5,6,singapore
Fei Zhuang Yuan Herbal Bak Kut Teh,asian,4.9,30,singapore
Slurp Express Fishball Noodles,singaporean,4.6,25,singapore
Chuan Xiang Wan Jia,asian,4.9,24,singapore
Ji De Chi Dessert,dessert,5,774,singapore
Somerset Delicacies,chinese,5,18,singapore
Wang BBQ,asian,4.9,136,singapore
Long Phung Vietnamese Restaurant,vietnamese,4,5,singapore
Yuan Ming Yuan,chinese,4.9,22,singapore
Ice Bear Western,chicken,4.9,122,singapore
Boon Heng Atas Roasted Duck and Hainanese Chicken Rice,asian,5,329,singapore
German Burgergrill,american,4.8,92,singapore
Pang's Hakka YTF,asian,4.9,138,singapore
Mixue,dessert,5,11,singapore
Crab Cartel,fast food,3.7,6,singapore
Papi's Tacos,mexican,4.7,37,singapore
Kebuke,chinese,5,14,singapore
,asian,4.7,24,singapore
Sinar Malay Seafood,chinese,5,151,singapore
The Hainan Story Bakery,cakes,5,9,singapore
Wooly's Bagels,sandwiches,4.9,45,singapore
Crown Prince Restaurant,chinese,4.9,22,singapore
Ngon Ngon,vietnamese,5,61,singapore
Jungle Acai,healthy,4.6,29,singapore
Playtpus East,mexican,4.9,8,singapore
Sabai Sabai Thai Private Kitchen by Fei Siong Group,chicken,4.9,32,singapore
Pang's Hakka YTF,asian,4.9,7,singapore
Juiced Juice,beverages,5,82,singapore
Soon Huat BBQ Seafood,asian,4.7,418,singapore
Al,indian,4.7,18,singapore
A,middle eastern,4.9,441,singapore
Food Junction,rice dishes,4.9,756,singapore
Delhi Darbar Kitchen,indian,4.4,105,singapore
Chuan Wei Mala Hot Pot,mala xiang guo,4.9,27,singapore
Holla Juice & Acai,beverages,5,749,singapore
Windowsill Pies,bakery,4.9,37,singapore
Shi Nian,chinese,4.9,71,singapore
House of Roasted Meats,asian,4.8,6,singapore
Penang Seafood Restaurant,chinese,4.4,14,singapore
Toh Guan TeoChew Noodle House,asian,5,8,singapore
Maasha Restaurant,indian,4.8,16,singapore
Jiu Fen Pavilion,chinese,4.9,11,singapore
Shun Heng Pig Trotter Rice,chinese,4.9,41,singapore
Qin Ji Rougamo,chinese,5,5,singapore
Chunky Lobsters,american,4.9,29,singapore
Katba Cafe,indian,3.2,5,singapore
The Pine Garden,cakes,4.9,95,singapore
Tea Me Tea x Coucou Hotpot,bubble tea,4.9,46,singapore
Yong Fa Pig Organ Soup,soups,4.9,271,singapore
Twyst Pasta,italian,5,175,singapore
sibarita,mexican,4.7,8,singapore
Thai Dynasty,thai,4.8,739,singapore
Mr Teh Tarik Eating House,beverages,5,83,singapore
Nature's Nutrition,healthy,4.8,12,singapore
Carrotsticks Stanley,healthy,5,24,singapore
Ma Po Xiang Mala Hotpot Chinese Cuisine,asian,4.8,22,singapore
Chirashi Tei,japanese,4.9,633,singapore
Edith Patisserie,dessert,4.9,102,singapore
87 Whampoa Mala Hotpot,chinese,4.8,20,singapore
Japanese and Korean by Food Project,japanese,4.8,153,singapore
Lele Wanton Noodle,asian,4.9,10,singapore
Rollgaadi Express,indian,4.9,241,singapore
Killiney Kopitiam,asian,4.5,30,singapore
Mr Seven,asian,5,9,singapore
My Little Kitchen,seafood,4.9,148,singapore
Washoku Goen,japanese,4.5,15,singapore
Hua Dee Hong Kong Roasted Delight,asian,4.9,67,singapore
Hungry Boy,western,4.9,824,singapore
FIC,noodles,4.9,72,singapore
Kangkar Mala,chinese,4.6,243,singapore
Quintet Five,western,5,36,singapore
Gong Yuan Mala Tang,soups,4.9,175,singapore
Nasi Padang Mama Mia,indonesian,4.8,27,singapore
BA WANG PAN MEE,asian,4.9,43,singapore
Fireyaki,western,4.9,30,singapore
Daebak Korean Restaurant,korean,5,287,singapore
Huggs Coffee,coffee,4.9,66,singapore
Huang Tu Di Xi,chinese,5,532,singapore
Haruyama Udon,japanese,5,18,singapore
Gerry's Grill Singapore,filipino,5,338,singapore
Bagelwich,burgers,3,5,singapore
Fish Soup Paradise,seafood,4.9,89,singapore
Craftsmen Coffee,coffee,4.9,8,singapore
Food Republic,chinese,4.8,35,singapore
Fong Hup,porridge,4.8,946,singapore
A Taste of Korea,korean,4.9,85,singapore
Warung Hajjah Anis,indonesian,5,4144,singapore
Serangoon Fried Prawn Mee,chinese,4.9,8,singapore
Tuck Kee Son,noodles,4.7,93,singapore
Soon Heng Prawn Noodles,chinese,5,24,singapore
E Pin Hong Sichuan Hunan Cuisine E,mala xiang guo,4.7,88,singapore
Tawa and Tandoor,indian,4.9,172,singapore
Percolate,coffee,5,6,singapore
Five Star Fast Food,indian,4.8,8,singapore
Alkove Bistro,western,4.9,58,singapore
NiuYiPin Beef Noodle,asian,4.8,8,singapore
ToMo Cafe,western,4.8,6,singapore
Arab Street Turkish & Western Restaurant,middle eastern,4.7,544,singapore
,noodles,5,281,singapore
Ordinary Burgers,american,4.9,126,singapore
Jalan Kayu Prata Cafe,roti prata,4.6,101,singapore
Lee Wee & Brothers,malaysian,5,71,singapore
Si Hai Zhen,asian,4.8,25,singapore
Tellalycious,malaysian,4.9,1956,singapore
Lao Huo Tang Chinese Mix Soup,soups,4.9,502,singapore
Three Kingdoms Mala Hotpot,chinese,4.9,44,singapore
Tea Pulse,dessert,5,5,singapore
Haji Haniffa M,sandwiches,5,1491,singapore
The Coffee Academics,coffee,5,18,singapore
The Hainan Story Coffee House,chinese,5,82,singapore
Indo Express,indonesian,5,20,singapore
Ng kuan chilli pan mee,noodles,4.9,104,singapore
Sa,asian,4.8,27,singapore
Rampage Western Food,western,4.9,925,singapore
Nanay's Kitchen,malaysian,4.9,271,singapore
Mei Heong Yuen Dessert,dessert,5,754,singapore
Li Xin Seafood Soup,singaporean,4.8,9,singapore
XING HUA FAMILY RESTAURANT,chinese,4.8,322,singapore
Dimbulah Chopped Salads & Pasta,coffee,5,46,singapore
Kuya's Kusinang Pinoy,filipino,5,328,singapore
Happy Vegetarian Food,vegetarian,5,25,singapore
Ming Kitchen,chinese,4.8,367,singapore
Backyard Griller,western,4.9,1489,singapore
Hong Kong Street Chun Tat Kee,chinese,5,1255,singapore
Wonderful La Mian Xiao Long Bao,chinese,4.8,183,singapore
MarlinaMuslimFood,rice dishes,5,516,singapore
Sakura Thai Chinese Cuisine,thai,5,21,singapore
Kaffa Bella Acai and Coffee,dessert,5,14,singapore
Xin Mei Xiang Lor Mee,noodles,4.9,263,singapore
Hup Heng Satay,singaporean,4.9,473,singapore
Mikko Bubble Tea & Chill Corner,bubble tea,5,339,singapore
AR Rahmaan Indian Muslim Food,malaysian,4.9,375,singapore
Da Tou Ban Mian,chinese,4.7,6,singapore
Grace Espresso,coffee,4.9,65,singapore
Ah Wang Fish Soup & Ban Mian,soups,4.9,61,singapore
Fong Hup,porridge,5,630,singapore
Zhen Neng Zhu Ban Mian & Fish Soup,soups,4.9,245,singapore
San Wei Claypot Rice Noodle,chinese,4.7,95,singapore
Alif Nasi Padang,malaysian,4.8,21,singapore
Jurong West Claypot Curry Fish Head,rice dishes,4.2,44,singapore
,malaysian,5,5,singapore
Doki Doki Donburi,japanese,4.6,10,singapore
Home Of Sushi,sushi,4.9,248,singapore
Beyond Pancakes,western,4.9,566,singapore
Happiness Sunbo Halal Chicken Rice,chicken rice,5,144,singapore
Imperial Treasure Fine Shanghai Cuisine,chinese,5,87,singapore
Pasta Express,pasta,5,283,singapore
Jia Cheng Noodle House,noodles,4.9,265,singapore
Hong Kong Street Cheng Ji,chinese,4.8,551,singapore
Ipoh Old Street Tai Pai Tong,chinese,4.9,185,singapore
Chao Yuan Gourmet,chinese,4.9,320,singapore
Riverside Grilled Fish,chinese,4.9,148,singapore
Wee Nam Kee Chicken Rice,chicken rice,4.6,42,singapore
Non La Vietnamese Kitchen,vietnamese,4.9,91,singapore
Kawan Bowl,asian,4.9,133,singapore
Don DonBuri,japanese,4.9,69,singapore
The Bowl Story,rice dishes,4.1,83,singapore
Lau Di Fang Scissors Cut Curry Rice,chinese,4.7,218,singapore
Happy Duck Braised Duck,chinese,4.9,313,singapore
Krua Thip Thai Kitchen,seafood,4.7,10,singapore
My Kampung Chicken Rice,chicken rice,5,479,singapore
Tomyum Mama,thai,4.9,13,singapore
Shun Ji Duck Rice & Kway Chap,chinese,4.1,6,singapore
Triple K Fruits,beverages,5,55,singapore
Jin de li xiang Qin,chinese,3.5,36,singapore
Yakiniku Like,japanese,5,42,singapore
Tasty Food North Indian Cuisine,indian,1.2,7,singapore
The Providore,western,5,1,singapore
ONE,singaporean,4.8,7,singapore
San Bao Chicken,chinese,3.6,5,singapore
Churros Factory,dessert,4.9,16,singapore
Naga Thai Food,thai,4.9,1050,singapore
Mala Hotpot By Mala Wok,chinese,5,247,singapore
Hong Sheng Fish Soup,seafood,4.9,239,singapore
The Pasta Project,pasta,4.9,206,singapore
My Cosy Corner,singaporean,5,151,singapore
Ah Chiang Porridge,asian,5,31,singapore
POCHA,korean,4.9,100,singapore
Yang Guo Fu Mala Tang,mala xiang guo,4.8,209,singapore
Shan Ji Mala Tang,asian,3.8,12,singapore
Bornga Korean BBQ,korean,2,33,singapore
A,middle eastern,4.7,33,singapore
Panuozzo,italian,4.9,161,singapore
Nami Korean Grill House By Hanjip,pancakes and waffles,4.9,12,singapore
Amoy Roasted Delights,chinese,4.8,41,singapore
Duck King,chinese,4.5,22,singapore
Sarpino's,pizza,4.9,390,singapore
Yakiniku Ok,japanese,4.9,51,singapore
Auntie Anne's Soft Pretzels,bakery,5,427,singapore
Edith Patisserie,dessert,4.5,13,singapore
NKS INDIAN MUSLIM FOOD,indian,4.9,43,singapore
LAHORE TANDOORI RESTAURANT,indian,2.2,5,singapore
Chong Qing Grilled Fish,chinese,4.8,11,singapore
Shi Ye Japanese Korean Cuisine,japanese,4.8,15,singapore
Dao Xiang Claypot,chinese,4.8,35,singapore
Le Tian Tian,singaporean,4.9,183,singapore
401 Delights,singaporean,4.9,738,singapore
Kemuri BBQ,japanese,4.9,195,singapore
So Green Vegetarian,vegetarian,5,80,singapore
Heng Ji Herbal Soup,chinese,4.8,321,singapore
Arabiaaaa Arabic Cuisine,middle eastern,4.9,172,singapore
Wong Kee Kway Teow & Fish Soup,chinese,4.8,56,singapore
Saikyo Pasta,pasta,5,46,singapore
Tun Xiang Hokkien Delights,asian,4.9,72,singapore
Hong Le Korean & Japanese Cuisine,korean,5,169,singapore
Time For Thai,thai,5,292,singapore
Soupcup,soups,5,5,singapore
Wei Jian Local Delights,asian,4.9,140,singapore
Nanyang Chicken Rice,singaporean,3.2,6,singapore
Beauty In The Pot,chinese,4.9,129,singapore
HOUSE OF WHITE BEE HOON,chinese,4.5,179,singapore
Chen Zhen Braised Duck,singaporean,4.9,21,singapore
Al,indian,4.7,24,singapore
K S R Biryani & Crispy Prata,indian,5,5,singapore
Fuel Kitchen,italian,5,29,singapore
Uncle Penyet,indonesian,5,82,singapore
Jian Bo Tiong Bahru Shui Kueh,chinese,4.8,94,singapore
Anjana Kitchen Authentic Indian Food,indian,4.8,215,singapore
Tian Tian Claypot Rice,malaysian,4.6,164,singapore
D'Penyetz,indonesian,5,170,singapore
D'Rubinah,indian,4.9,384,singapore
G Western,western,4.4,8,singapore
XIAO JIN SHA GUO MA LA TANG,chinese,4,15,singapore
LIUZHOUNVXU,asian,4.9,253,singapore
Kim Heng Roasted Delights,asian,4.1,109,singapore
